NAME,CATEGORY,SUBCATEGORY,LON,LAT,
Usk,SETTLEMENTS,HAMLET,-128.41175710000002,54.63638400000001,
Shalalth,SETTLEMENTS,HAMLET,-122.233333,50.733333,
Charlie Lake,SETTLEMENTS,VILLAGE,-120.9573984,56.2762089,
Engineer,SETTLEMENTS,TOWN,-134.24649540000001,59.5000147,
Big Creek,SETTLEMENTS,HAMLET,-123.04167530000001,51.7223028,
Bella Bella,SETTLEMENTS,TOWN,-128.145207,52.1625615,
Quathiaski Cove,SETTLEMENTS,VILLAGE,-125.20996410000001,50.041275000000006,
Noralee,SETTLEMENTS,HAMLET,-126.433333,53.983333,
Riske Creek,SETTLEMENTS,HAMLET,-122.5327391,51.9689891,
Refuge Cove,SETTLEMENTS,HAMLET,-124.8389298,50.1256117,
Alexandria,SETTLEMENTS,TOWN,-122.45,52.633333,
Little Fort,SETTLEMENTS,VILLAGE,-120.20626120000001,51.4252892,
Stuie,SETTLEMENTS,HAMLET,-126.0679345,52.3709708,
Savory,SETTLEMENTS,HAMLET,-125.166667,54.1,
Glenora,SETTLEMENTS,HAMLET,-131.39459580000002,57.8383551,
Port Essington,SETTLEMENTS,TOWN,-129.9634767,54.1591553,
Quilchena,SETTLEMENTS,VILLAGE,-120.5187614,50.161343200000005,
Clayhurst,SETTLEMENTS,HAMLET,-120.02987890000001,56.187587400000005,
Teepee,SETTLEMENTS,TOWN,-134.66666700000002,59.650000000000006,
Nadu,SETTLEMENTS,HAMLET,-132.10767620000001,53.8289271,
Macalister,SETTLEMENTS,TOWN,-122.416667,52.45,
Dease Lake,SETTLEMENTS,TOWN,-129.99549810000002,58.4378352,
Fellers Heights,SETTLEMENTS,TOWN,-120.55000000000001,55.6,
McBride,SETTLEMENTS,VILLAGE,-120.16407040000001,53.304196000000005,
Ootsa Lake,SETTLEMENTS,TOWN,-126.03333300000001,53.783333000000006,
Aspen Grove,SETTLEMENTS,HAMLET,-120.62988170000001,49.9313172,
Grassy Plains,SETTLEMENTS,TOWN,-125.88333300000001,53.95,
Scotia Bay,SETTLEMENTS,TOWN,-133.816667,59.6,
Namu,SETTLEMENTS,TOWN,-127.8669095,51.86083,
Bliss Landing,SETTLEMENTS,VILLAGE,-124.817047,50.034209000000004,
Wellington,SETTLEMENTS,HAMLET,-124.0166645,49.200000900000006,
Decker Lake,SETTLEMENTS,HAMLET,-125.83193910000001,54.2924481,
